"CLAGE","CLNO","DEBTINC","DELINQ","DEROG","LOAN","MORTDUE","NINQ","VALUE","YOJ","BAD","JOB_Mgr","JOB_Office","JOB_Other","JOB_ProfExe","JOB_Sales","JOB_Self","REASON_DebtCon","REASON_HomeImp"
94.3666666666667,9,25.3874860629614,0,0,1100,25860,1,39025,10.5,"1",0,0,1,0,0,0,0,1
121.833333333333,14,39.5343548089663,2,0,1300,70053,0,68400,7,"1",0,0,1,0,0,0,0,1
149.466666666667,10,31.2086869443826,0,0,1500,13500,1,16700,4,"1",0,0,1,0,0,0,0,1
139.936338186851,12.5,35.9249522252148,1,0.7,1500,41757.4,0.7,49115.5,4.51,"1",0,0,1,0,0,0,0,1
93.3333333333333,14,30.2914157840641,0,0,1700,97800,0,112000,3,"0",0,1,0,0,0,0,0,1
101.466001910589,8,37.1136135584459,0,0,1700,30548,1,40320,9,"1",0,0,1,0,0,0,0,1
77.1,17,37.6502974309201,2,3,1800,48649,1,57037,5,"1",0,0,1,0,0,0,0,1
88.7660298789099,8,36.8848940929048,0,0,1800,28502,0,43034,11,"1",0,0,1,0,0,0,0,1
216.933333333333,12,30.2537474284064,2,0,2000,32700,1,46740,3,"1",0,0,1,0,0,0,0,1
115.8,13,36.5639881263254,0,0,2000,45160.9,0,62250,16,"1",0,0,0,0,1,0,0,1
142.810247832131,11.9,28.2816995079171,1.5,1.3,2000,22608,1.4,47890.101,18,"1",1,0,0,0,0,0,0,1
122.533333333333,9,31.4578071554312,1,0,2000,20627,1,29800,11,"1",0,1,0,0,0,0,0,1
86.0666666666667,25,41.1071584775938,0,0,2000,45000,2,55000,3,"1",0,0,1,0,0,0,0,1
147.133333333333,24,37.3631563213329,0,0,2000,64536,0,87400,2.5,"0",1,0,0,0,0,0,0,1
123,16,35.9570945080049,1,0,2100,71000,0,83850,8,"1",0,0,1,0,0,0,0,1
300.866666666667,8,33.8031210369995,1,0,2200,24280,0,34687,3.6975,"1",0,0,1,0,0,0,0,1
122.9,22,53.639036258684,6,2,2200,90957,1,102600,7,"1",1,0,0,0,0,0,0,1
180.89265900685,18.8,3.71131229945985,2.5,1.3,2200,23030,0.5,57493.3,19,"1",0,0,1,0,0,0,0,1
54.6,16,30.4005581422348,0,0,2300,28192,1,40150,4.5,"1",0,0,1,0,0,0,0,1
90.9925334673386,13,31.5885031783155,0,0,2300,102370,0,120953,2,"0",0,1,0,0,0,0,0,1
122.266666666667,14,36.5766126103042,1,0,2300,37626,1,46200,3,"1",0,0,1,0,0,0,0,1
211.777699198185,0,34.1336108568529,0,1,2400,50000,1,73395,5,"1",0,0,0,1,0,0,0,1
67.2,22,37.9702209158378,0,0,2400,28000,2,40800,12,"1",1,0,0,0,0,0,0,1
121.733333333333,10,17.2787089361975,2,0.7,2400,18000,0,51169.976,22,"1",1,0,0,0,0,0,0,1
14.5666666666667,4,29.0216542579646,0,0,2400,26216.9333333333,3,17180,4.2,"1",0,0,1,0,0,0,0,1
70.4910800318371,21,38.2636007309303,0,0,2400,34863,1,47471,12,"1",1,0,0,0,0,0,0,1
93.8117748545694,13,29.6818270451957,0,0,2400,98449,0,117195,4,"0",0,1,0,0,0,0,0,1
136.066666666667,19,28.8184652804399,0,0,2500,15000,1,20200,18,"1",0,1,0,0,0,0,0,1
276.966666666667,9,23.195834562893,2,1,2500,25116,0,36350,10,"1",0,0,1,0,0,0,0,1
208,12,35.9518476449991,0,0,2500,7229,0,44516,4,"0",0,0,0,0,0,1,0,1
255.733333333333,12,39.5070256623882,0,0,2500,71408,0,78600,8,"0",0,0,0,1,0,0,0,1
145.633333333333,45,48.2073191912655,15,2,2800,50795,3,63100,26,"1",0,0,0,0,0,1,0,1
112.633333333333,9,29.9668418008638,0,4,2800,4000,2,60850,16,"1",0,0,1,0,0,0,0,1
165.333333333333,26,32.6974942473129,0,1,2900,78600,2,113000,6,"1",0,0,0,1,0,0,1,0
96.1023296698115,13,30.0511362863198,0,0,2900,103949,0,112505,1,"0",0,1,0,0,0,0,0,1
101.540297533419,13,29.9158590280245,0,0,2900,104373,0,120702,2,"0",0,1,0,0,0,0,0,1
122.204662761713,8,36.211347997762,0,3,2900,7750,2,67996,16,"1",0,0,1,0,0,0,0,1
282.80165923776,37,49.2063957904495,0,0,2900,61962,3,70915,2,"1",1,0,0,0,0,0,1,0
85.884371894994,14,32.0597832671831,0,0,3000,104570,0,121729,2,"0",0,1,0,0,0,0,0,1
50.8,9,34.2121279841411,0,0,3000,7000,5,20300,3,"1",0,0,1,0,0,0,0,1
77.7666666666667,3,29.2717787468852,1,0,3000,21683.1,0,8800,2,"1",0,0,1,0,0,0,0,1
